timestamp,dhw_event_start,dhw_draw_active,dhw_draw_size_l,event_id
2024-01-01 00:00:00,0,0,0.0,0
2024-01-01 00:30:00,0,0,0.0,0
2024-01-01 01:00:00,0,0,0.0,0
2024-01-01 01:30:00,0,0,0.0,0
2024-01-01 02:00:00,0,0,0.0,0
2024-01-01 02:30:00,0,0,0.0,0
2024-01-01 03:00:00,0,0,0.0,0
2024-01-01 03:30:00,0,0,0.0,0
2024-01-01 04:00:00,0,0,0.0,0
2024-01-01 04:30:00,0,0,0.0,0
2024-01-01 05:00:00,1,1,1.6666677756261008,1
2024-01-01 05:30:00,0,1,1.6666677756261008,1
2024-01-01 06:00:00,0,1,1.6666677756261008,1
2024-01-01 06:30:00,0,1,1.6666677756261008,1
2024-01-01 07:00:00,0,0,0.0,0
2024-01-01 07:30:00,0,0,0.0,0
2024-01-01 08:00:00,0,0,0.0,0
2024-01-01 08:30:00,0,0,0.0,0
2024-01-01 09:00:00,0,0,0.0,0
2024-01-01 09:30:00,0,0,0.0,0
2024-01-01 10:00:00,0,0,0.0,0
2024-01-01 10:30:00,0,0,0.0,0
2024-01-01 11:00:00,0,0,0.0,0
2024-01-01 11:30:00,0,0,0.0,0
2024-01-01 12:00:00,0,0,0.0,0
2024-01-01 12:30:00,0,0,0.0,0
2024-01-01 13:00:00,0,0,0.0,0
2024-01-01 13:30:00,0,0,0.0,0
2024-01-01 14:00:00,0,0,0.0,0
2024-01-01 14:30:00,0,0,0.0,0
2024-01-01 15:00:00,0,0,0.0,0
2024-01-01 15:30:00,1,1,1.7083354768771102,2
2024-01-01 16:00:00,0,1,1.7083354768771102,2
2024-01-01 16:30:00,0,1,1.7083354768771102,2
2024-01-01 17:00:00,0,1,1.7083354768771102,2
2024-01-01 17:30:00,0,0,0.0,0
2024-01-01 18:00:00,1,1,0.7962967513893443,3
2024-01-01 18:30:00,0,1,0.7962967513893443,3
2024-01-01 19:00:00,0,1,0.7962967513893443,3
2024-01-01 19:30:00,0,1,0.7962967513893443,3
